"artist","PC1","PC2","PC3"
"Dexys Midnight Runners",-0.86692186957462,0.274733223715074,-0.0474708527248243
"Dinosaur Jr.",-0.895874749969269,1.68767456607202,-0.460173538945131
"Dion",-0.730665867822965,-0.559004589871781,-0.300332628623772
"Dire Straits",-0.812146363127895,0.261401382349152,-0.492398093549292
"Dizzee Rascal",-2.2715240083874,-0.556860618704071,0.812066020379117
"Dizzy Gillespie",0.681629370785886,-0.71670797410821,-0.240918602953786
"DJ Shadow",-0.637896798265559,0.395265970847246,0.558871611150969
"Dolly Parton",-0.0839666682962051,-0.745180464921231,-0.180564385861136
"Donna Summer",-1.40567930897598,-0.0676047205721033,-0.110996419052134
"Dr. Dre",-1.79443580501178,-0.5127902496545,1.4416561161827
"Duke Ellington",1.32235058024988,-0.626650681370796,0.0119004599414413
"Duran Duran",-1.36165027747437,0.349398848953581,-0.115624184443471
